Type,theta,z_h,gamma,K,L,w,r,b,welfare,cv_wealth
Benchmark,0.11,3.0,0.42,3.3588868037539568,0.34320381021022817,1.4548276625200876,0.023616273696744863,0.2251233560888578,-35.76838118717758,1.5298305143330837
Benchmark + No SS,0.0,3.0,0.42,4.603461461523347,0.36521677793893553,1.5935736454682012,0.01111494434184121,0.0,-37.382474287938294,1.3982966762863027
No Risk,0.11,0.5,0.42,1.04527827543619,0.16003782329179336,1.2577181199540977,0.04831698330122641,0.09075339011975941,-45.066154443938025,0.6627013611538536
No Risk + No SS,0.0,0.5,0.42,1.2878264426066666,0.16822768722238723,1.3316973175499416,0.037851657820447776,0.0,-45.15673645106018,0.7603447438551566
Exog LS,0.11,3.0,1.0,7.3597580831940235,0.7542561018446171,1.453262504465743,0.023776437457779784,0.4942194172690657,-23.002965907425548,1.510118808203505
Exog LS + No SS,0.0,3.0,1.0,10.45388972698467,0.7542561018446182,1.6489718571242964,0.006923198310577569,0.0,-25.757959901036802,1.3242469963401542
